id,title,published,updated,summary,authors,doi,primary_category
http://arxiv.org/abs/2401.04381v1,Spaces where all bijections are morphisms,2024-01-09T07:01:04Z,2024-01-09T07:01:04Z,"Here we classify all topological spaces where all bijections to itself are
homeomorphisms. As a consequence, we also classify all topological spaces where
all maps to itself are continuous. Analogously, we classify all measurable
spaces where all bijections to itself are measurable with measurable inverse.
As a consequence, we also classify all measurable spaces where all maps to
itself are measurable.",Lucas H. R. de Souza,,math.GN
http://arxiv.org/abs/1911.11405v1,A Note on Computational Complexity of Kill-all Go,2019-11-26T08:49:54Z,2019-11-26T08:49:54Z,"Kill-all Go is a variant of Go in which Black tries to capture all white
stones, while White tries to survive. We consider computational complexity of
Kill-all Go with two rulesets, Chinese rules and Japanese rules. We prove that:
(i) Kill-all Go with Chinese rules is PSPACE-hard, and (ii) Kill-all Go with
Japanese rules is EXPTIME-complete.",Zhujun Zhang,,cs.CC
http://arxiv.org/abs/2501.13404v1,"Classification of Homogeneous Local Representations of the Singular
  Braid Monoid",2025-01-23T06:06:47Z,2025-01-23T06:06:47Z,"For a natural number $n$, denote by $B_n$ the braid group on $n$ strings and
by $SM_n$ the singular braid monoid on $n$ strings. $SM_n$ is one of the most
important extensions of $B_n$. In [13], Y. Mikhalchishina classified all
homogeneous $2$-local representations of $B_n$ for all $n \geq 3$. In this
article, we extend the result of Mikhalchishina in two ways. First, we classify
all homogeneous $3$-local representations of $B_n$ for all $n \geq 4$. Second,
we classify all homogeneous $2$-local representations of $SM_n$ for all $n\geq
2$ and all homogeneous $3$-local representations of $SM_n$ for all $n\geq 4$.",Taher I. Mayassi; Mohamad N. Nasser,,math.RT
http://arxiv.org/abs/1210.7708v1,Landau--Kolmogorov inequality revisited,2012-10-29T16:12:41Z,2012-10-29T16:12:41Z,"The Landau-Kolmogorov problem consists of finding the upper bound $M_k$ for
the norm of intermediate derivative $|f^{(k)}|$, when the bounds $|f| \le M_0$
and $|f^{(n)}| \le M_n$, for the norms of the function and of its higher
derivative, are given.
  Here, we consider the case of a finite interval, and when all the norms are
the max-norms. Our interest to that particular case is motivated by the fact
that there are good chances to add this case to a short list of
Landau--Kolmogorov inequalities where a complete solution exists, i.e., a
solution that covers all values of $n,k\in\N$ (and, for a finite interval, all
values of $\sigma = M_n/M_0$).
  The main guideline here is Karlin's conjecture that says that, for all
$n,k\in\N$ and all $\sigma>0$, the maximum of $|f^{(k)}|$ is attained by a
certain Chebyshev or Zolotarev spline. So far, it has been proved only for
small $n \ge 4$ with all $\sigma$, and for all $n$ with particular $\sigma =
\sigma_n$. Here, we prove Karlin's conjecture in several further subcases:
  1) all $n,k\in\N$ and all $0 < \sigma \le \sigma_n$
  2) all $n \in \N$, all $\sigma > 0$, with $k=1,2$
  3) all $\sigma > 0$, with $n < 10$ and $0 < k < n$.",Alexei Shadrin,,math.NA
http://arxiv.org/abs/1602.00450v1,"All-in-all-out magnetic domain wall conduction in pyrochlore iridate
  heterointerface",2016-02-01T09:53:30Z,2016-02-01T09:53:30Z,"Pyrochlore oxides possessing ""all-in-all-out"" spin ordering have attracted
burgeoning interest as a rich ground of emergent states. This ordering has two
distinct types of magnetic domains (all-in-all-out or all-out-all-in) with
broken time-reversal symmetry, and a non-trivial metallic surface state has
been theoretically demonstrated to appear at their domain wall. Here, we report
on observation of this metallic conduction at the single
all-in-all-out/all-out-all-in magnetic domain wall formed at the
heterointerface of two pyrochlore iridates. By utilizing different
magnetoresponses of them with different lanthanide ions, the domain wall is
controllably inserted at the heterointerface, the surface state being detected
as anomalous conduction enhancement with a ferroic hysteresis. Our
establishment paves the way for further investigation and manipulation of this
new type of surface transport.",T. C. Fujita; M. Uchida; Y. Kozuka; W. Sano; A. Tsukazaki; T. Arima; M. Kawasaki,10.1103/PhysRevB.93.064419,cond-mat.mtrl-sci
http://arxiv.org/abs/1612.01842v2,"An Improved One-to-All Broadcasting in Higher Dimensional
  Eisenstein-Jacobi Networks",2016-12-06T15:01:47Z,2016-12-07T06:10:53Z,"Recently, a higher dimensional Eisenstein-Jacobi networks, has been proposed
in [22], which is shown that they have better average distance with more number
of nodes than a single dimensional EJ networks. Some communication algorithms
such as one-to-all and all-to-all communications are well known and used in
interconnection networks. In one-to-all communication, a source node sends a
message to every other node in the network. Whereas, in all-to-all
communication, every node is considered as a source node and sends its message
to every other node in the network. In this paper, an improved one-to-all
communication algorithm in higher dimensional EJ networks is presented. The
paper shows that the proposed algorithm achieves a lower average number of
steps to receiving the broadcasted message. In addition, since the links are
assumed to be half-duplex, the all-to-all broadcasting algorithm is divided
into three phases. The simulation results are discussed and showed that the
improved one-to-all algorithm achieves better traffic performance than the
well-known one-to-all algorithm and has 2.7% less total number of senders",Zaid Hussain,,cs.DC
http://arxiv.org/abs/2309.13541v2,"Efficient All-to-All Collective Communication Schedules for
  Direct-Connect Topologies",2023-09-24T03:56:35Z,2024-04-25T20:40:57Z,"The all-to-all collective communications primitive is widely used in machine
learning (ML) and high performance computing (HPC) workloads, and optimizing
its performance is of interest to both ML and HPC communities. All-to-all is a
particularly challenging workload that can severely strain the underlying
interconnect bandwidth at scale. This paper takes a holistic approach to
optimize the performance of all-to-all collective communications on
supercomputer-scale direct-connect interconnects. We address several
algorithmic and practical challenges in developing efficient and
bandwidth-optimal all-to-all schedules for any topology and lowering the
schedules to various runtimes and interconnect technologies. We also propose a
novel topology that delivers near-optimal all-to-all performance.",Prithwish Basu; Liangyu Zhao; Jason Fantl; Siddharth Pal; Arvind Krishnamurthy; Joud Khoury,,cs.DC
http://arxiv.org/abs/2401.11741v1,On partial endomorphisms of a star graph,2024-01-22T07:49:56Z,2024-01-22T07:49:56Z,"In this paper we consider the monoids of all partial endomorphisms, of all
partial weak endomorphisms, of all injective partial endomorphisms, of all
partial strong endomorphisms and of all partial strong weak endomorphisms of a
star graph with a finite number of vertices. Our main objective is to determine
their ranks. We also describe their Green's relations, calculate their
cardinalities and study their regularity.",Ilinka Dimitrova; Vítor H. Fernandes; Jörg Koppitz,,math.RA
http://arxiv.org/abs/2407.08211v1,Distance Antimagic Labeling of Zero-Divisor Graphs,2024-07-11T06:29:39Z,2024-07-11T06:29:39Z,"In this paper, we prove that for all $m\geq 1$ and $n=1$, the graph $
m\Gamma(\mathbb{Z}_9)+n\Gamma(\mathbb{Z}_4)$, for all $n\geq 1$, and $m=1$, the
graph $m\overline{\Gamma(\mathbb{Z}_6)}+n\Gamma(\mathbb{Z}_9)$, for all
$m\geq1$, $[m\Gamma(\mathbb{Z}_9)+\Gamma(\mathbb{Z}_4)]\times
\Gamma(\mathbb{Z}_9)$, for all prime $m\geq3$,
$\Gamma(\mathbb{Z}_6)\times\Gamma(\mathbb{Z}_{2m})$ and
$\Gamma(\mathbb{Z}_6)\times\Gamma(\mathbb{Z}_{m^2})$ are all admit distance
antimagic labeling.",V. Sivakumaran; K. Sankar; S. Prabhu,,math.CO
http://arxiv.org/abs/2410.21084v1,Presentations for monoids of partial endomorphisms of a star graph,2024-10-28T14:48:36Z,2024-10-28T14:48:36Z,"In this paper, we consider the monoids of all partial endomorphisms, of all
partial weak endomorphisms, of all injective partial endomorphisms, of all
partial strong endomorphisms and of all partial strong weak endomorphisms of a
star graph with a finite number of vertices. Our main objective is to exhibit a
presentation for each of them.",Ilinka Dimitrova; Vítor H. Fernandes; Jörg Koppitz,,math.RA
